pkt大小(Byte),用时(ns)
342,2.58665e+07
342,169501
81,15900
160,19100
64,8500
110,13200
74,9300
64,6200
92,8300
83,7800
162,12800
92,7600
108,10200
78,8200
153,15800
92,7100
92,5900
110,14100
110,9100
76,9200
182,17900
66,7100
58,4800
54,4200
151,18800
54,4000
233,25000
54,5400
54,3700
54,3100
91,8700
170,14500
159,15400
159,13100
66,6500
66,5000
54,4200
92,8800
1202,107201
654,61300
54,7200
1202,94000
60,6400
54,5400
264,26800
170,18400
212,22800
156,16600
282,27700
277,25500
297,27500
257,24000
108,12400
66,7600
66,6400
54,4800
1202,88401
60,6200
54,5000
264,22900
187,20400
270,26300
66,7900
66,6700
54,5000
301,27700
44,4900
54,4700
54,4800
54,4700
66,7000
66,5900
54,4700
69,7100
1202,102400
226,20300
54,5500
54,4700
54,4300
54,4500
66,7200
66,6000
54,4700
1202,88201
188,17300
54,6200
1202,88900
150,13100
54,5100
54,4800
54,4800
54,4300
764,61700
108,12700
97,10900
54,5200
54,4800
97,10000
54,4800
54,4300
66,7400
66,6800
54,5400
294,26700
304,25500
54,5000
54,4800
54,4500
66,6800
66,6000
54,4500
62,6400
1202,89401
257,20000
54,5200
54,4600
54,4600
54,4200
66,6700
66,6400
54,4400
1202,87000
139,15700
54,5700
1202,116800
168,16700
54,5200
54,3800
54,3800
54,3500
66,6500
66,4700
54,3500
1202,85601
313,24300
54,5900
1202,86700
292,23400
54,4900
54,3600
54,3600
54,3000
134,13300
213,16800
103,8600
182,12400
66,6400
66,4600
54,3700
66,5200
66,4500
54,3700
1202,86000
295,25500
54,5400
1202,87800
276,21301
54,4800
54,3600
54,3400
54,3300
1202,104100
92,10200
54,5300
264,22900
221,39800
232,28400
66,8400
66,6000
54,5200
1202,98400
110,11100
54,5500
264,22701
230,25900
212,22100
232,23600
206,20800
238,25500
986,108200
66,9200
66,7100
54,5500
162,33800
306,44200
66,8300
66,6600
54,5000
1202,91800
295,26500
54,5500
1202,91400
276,24400
54,6400
54,5300
54,5100
54,4900
66,7400
66,6300
54,4900
1202,88200
127,12500
54,15100
1202,93400
140,12700
54,5300
54,3900
54,3800
54,3300
1202,105501
1202,97400
54,5400
172,13700
314,29100
212,21500
138,15300
130,13900
330,41100
171,21700
160,17900
97,11100
54,12100
54,5600
54,4700
97,11100
54,4300
76,10200
92,9400
104,8700
146,55401
182,34500
54,4900
92,10400
126,14400
126,12500
126,13600
126,12500
54,4100
92,7800
74,7600
92,6300
74,6000
92,5900
90,8300
66,6100
58,4100
54,4000
73,8500
54,3900
1202,222700
1022,644001
54,17001
1202,690701
1022,253000
54,8200
1202,2.2532e+06
1202,92800
932,72901
54,6700
1202,88900
1022,82600
1112,79800
54,6000
54,5600
1112,89900
1112,76100
54,6501
54,4900
1112,72200
54,5500
1112,67300
54,5100
1112,72700
54,5500
1112,71200
54,5400
1112,71600
54,5200
1112,573801
54,11300
1112,545301
54,13500
1112,666201
54,10800
1112,620301
54,11100
1202,2.0263e+06
1022,313300
54,8800
1112,617801
54,10100
1112,283401
54,7700
1112,69200
54,11000
1112,98500
54,8000
1202,255501
1022,607401
54,21200
1112,750601
54,17000
1112,238301
54,7200
1202,122100
1022,123401
54,8300
1112,119700
54,7100
1112,104600
54,7200
1112,106900
54,7800
