pkt大小(Byte),用时(ns)
350,9.61828e+07
350,78600
89,22700
168,30400
72,10100
83,14900
72,12700
100,17300
100,13700
116,16500
91,13000
170,25900
86,14400
86,11000
100,16400
100,12100
118,15300
118,17000
84,13400
190,37800
74,11900
66,9100
62,9100
159,27500
62,34700
241,76300
62,12800
62,7400
62,17500
100,14800
179,27100
168,23500
168,20600
74,10900
74,11000
62,8100
302,54400
312,44300
62,10200
62,13700
62,7900
74,9600
74,9700
62,7500
70,9200
1210,162900
265,49600
62,9000
62,8100
62,7500
62,8700
74,10700
74,9900
62,8400
1210,180900
148,59300
62,11900
1210,182299
178,46500
62,9700
62,8200
62,8700
62,7700
230,33900
234,29800
74,12300
74,9500
62,8800
1210,160600
321,102200
62,13900
1210,165300
300,45900
62,12900
62,9000
62,8000
62,7000
1210,137600
139,28600
62,11100
294,39200
282,39800
167,23400
266,35900
266,105400
346,65500
130,19700
346,72000
114,18400
202,27000
202,25800
74,11400
74,10800
62,8700
221,35900
314,42500
170,50800
314,67300
74,16500
74,13200
62,11200
1210,181600
303,64700
62,12000
1210,237400
284,54200
62,13500
62,9000
62,8800
62,9400
74,13100
74,10700
62,11200
1210,160600
135,36500
62,11500
1210,160000
148,31100
62,9000
62,12300
62,9500
62,7000
1210,287400
1210,333100
62,13400
180,37300
322,65200
182,41100
146,25300
236,43100
62,12400
62,10000
139,19200
154,24600
190,45400
62,9000
186,189800
146,55700
62,11100
62,12900
142,45800
221,46800
111,25200
190,39200
74,20700
74,21600
62,16400
74,14000
74,11300
62,11700
1210,222200
303,71200
62,11700
1210,192500
284,117200
62,26300
62,10300
62,14500
62,8100
1210,183700
100,36500
62,11100
272,38900
229,46600
240,40200
74,41200
74,13200
62,10000
1210,172600
118,37399
62,15200
272,39400
238,58400
220,37800
240,42200
214,37700
246,41700
994,202100
74,16400
74,13600
62,12200
170,76300
314,80100
1210,245300
1210,172399
62,12900
180,25500
322,41700
220,31200
146,21100
162,51000
82,15800
179,24500
168,25900
105,16800
62,9400
62,7400
62,9400
84,14400
105,14300
62,27900
100,14100
74,11300
74,10000
62,8400
100,12900
1210,140600
662,111200
62,11500
1210,139100
86,37000
62,11500
272,33100
178,27800
220,29300
164,29500
290,73400
285,42500
305,43200
265,36500
116,16900
74,11400
74,9900
62,8500
1210,130200
86,18300
62,9700
272,34700
195,25900
278,34600
74,11500
74,10400
62,8200
310,39400
54,7900
62,8800
62,7800
62,7400
74,9900
74,9699
62,7900
78,10600
1210,170100
253,93700
62,24100
62,8900
62,14900
62,8800
74,12000
74,10100
62,9000
